Connor Riley,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1769906127,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,4.43E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Lempel-Ziv Complexity,Zeta,Observations
0,-,4,0.992,0.923076923,1.967378167,2.038159682,0.09492,,Close to being class one
1,10,3,0.944,0.846153846,2.096349258,2.16197818,0.26915,,Chaos
2,12,3,0.936,0.769230769,2.107384647,2.199687795,0.273415,,Chaos
3,2,3,0.888,0.692307692,2.133800147,2.16197818,0.274185,,Chaos
4,4,3,0.768,0.615384615,2.241697715,2.133937566,0.306745,,Chaos
5,7,4,0.624,0.538461538,2.143117074,1.987773371,0.234755,,"Near chaos, triange structures"
6,8,4,0.504,0.461538462,1.747187984,1.669180337,0.1462,,"Near chaos, triange structures"
7,3,1,0.424,0.384615385,1.641732588,1.546593564,0.01168,,"Homogenous, vertical lines"
8,11,1,0.4,0.307692308,1.597493157,1.352030102,0.010885,,"Homogenous, vertical lines"
9,9,1,0.32,0.230769231,1.323205166,1.145110414,0.01068,,"Homogenous, vertical lines"
10,1,1,0.296,0.153846154,1.172190243,0.773228349,0.010025,,"Homogenous, vertical lines"
11,5,1,0.152,0.076923077,0.614822757,0.391243564,0.01012,,"Homogenous, vertical lines"
12,6,1,0,0,0,0,0.001575,,"Homogenous, dead"
,,,,,,,,,
,,,,,,,,,
Experiment #:,1,,,,,,,,
Rule:,4.22E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Lempel-Ziv Complexity,Zeta,Observations
0,-,1,0.992,0.923076923,1.458365335,1.573402452,0.002185,,Homogenous
1,4,1,0.872,0.846153846,1.829306848,1.738149333,0.0099,,"Homogenous, vertical lines"
2,7,1,0.728,0.769230769,1.949955983,1.826245258,0.015395,,"Homogenous, vertical lines"
3,5,1,0.584,0.692307692,1.562832153,1.57662122,0.01839,,"Homogenous, vertical lines"
4,9,1,0.504,0.615384615,1.488361713,1.57662122,0.016405,,"Homogenous, vertical lines"
5,1,1,0.48,0.538461538,1.453923093,1.52623491,0.01278,,"Homogenous, vertical lines"
6,6,4,0.328,0.461538462,1.23960203,1.457265914,0.1228,,"Near chaos, triange structures, close to class 1"
7,2,1,0.28,0.384615385,1.12194436,1.334679141,0.011775,,"Homogenous, vertical lines"
8,12,1,0.272,0.307692308,1.105354729,1.198183948,0.00742,,"Homogenous, vertical lines"
9,3,1,0.192,0.230769231,0.81000098,0.991264261,0.007305,,"Homogenous, vertical lines"
10,8,1,0.072,0.153846154,0.439460621,0.773228349,0.0018,,"Homogenous, dead"
11,11,1,0.048,0.076923077,0.277839574,0.391243564,0.001745,,"Homogenous, dead"
12,10,1,0,0,0,0,0.001585,,"Homogenous, dead"
,,,,,,,,,
,,,,,,,,,
Experiment #:,2,,,,,,,,
Rule:,2.24E+11,,,,,,,,
